 2022-04-19 21:10:47,662 [main] INFO  | rental.RentalApplication                                     | Rental application started. (RentalApplication.java:19)
 2022-04-19 21:10:57,086 [main] INFO  | org.hibernate.tuple.PojoInstantiator                         | HHH000182: No default (no-argument) constructor for class: rental.place.Place (class must be instantiated by Interceptor) (PojoInstantiator.java:47)
 2022-04-19 21:10:57,794 [main] INFO  | org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] (JtaPlatformInitiator.java:52)
 2022-04-19 21:10:57,815 [main] INFO  | org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean | Initialized JPA EntityManagerFactory for persistence unit 'default' (AbstractEntityManagerFactoryBean.java:437)
 2022-04-19 21:10:59,484 [main] WARN  | org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning (JpaBaseConfiguration.java:219)
 2022-04-19 21:11:00,477 [main] INFO  | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | Tomcat started on port(s): 8080 (http) with context path '' (TomcatWebServer.java:220)
 2022-04-19 21:11:00,499 [main] INFO  | rental.RentalApplication                                     | Started RentalApplication in 12.614 seconds (JVM running for 20.634) (StartupInfoLogger.java:61)
 2022-04-19 21:11:00,898 [http-nio-8080-exec-1] INFO  | org.springframework.web.servlet.DispatcherServlet            | Initializing Servlet 'dispatcherServlet' (FrameworkServlet.java:525)
 2022-04-19 21:11:00,900 [http-nio-8080-exec-1] INFO  | org.springframework.web.servlet.DispatcherServlet            | Completed initialization in 2 ms (FrameworkServlet.java:547)
 2022-04-19 21:11:05,488 [http-nio-8080-exec-3] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:11:08,327 [http-nio-8080-exec-4] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:12:22,226 [http-nio-8080-exec-1] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:12:41,019 [http-nio-8080-exec-5] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:23:15,345 [http-nio-8080-exec-10] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:23:48,561 [http-nio-8080-exec-4] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:24:12,803 [http-nio-8080-exec-9] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:24:26,220 [http-nio-8080-exec-1] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:24:58,687 [http-nio-8080-exec-5] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:25:47,373 [http-nio-8080-exec-8] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:31:37,538 [http-nio-8080-exec-4] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:33:57,267 [http-nio-8080-exec-8] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:35:10,065 [http-nio-8080-exec-4] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:37:11,922 [http-nio-8080-exec-10] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:37:25,750 [http-nio-8080-exec-4] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:37:35,207 [http-nio-8080-exec-6] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:41:38,262 [http-nio-8080-exec-3] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:41:38,441 [http-nio-8080-exec-4] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:42:08,738 [http-nio-8080-exec-9] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:42:11,211 [http-nio-8080-exec-6] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:42:11,321 [http-nio-8080-exec-8] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:43:05,520 [http-nio-8080-exec-10] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:43:10,713 [http-nio-8080-exec-1] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:43:40,276 [http-nio-8080-exec-5] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:46:29,063 [http-nio-8080-exec-10] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:46:48,701 [http-nio-8080-exec-3] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:47:48,831 [http-nio-8080-exec-6] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:48:38,397 [http-nio-8080-exec-5] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:49:03,822 [http-nio-8080-exec-7] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:52:32,472 [http-nio-8080-exec-3] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:53:32,967 [http-nio-8080-exec-6] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:54:06,071 [http-nio-8080-exec-1] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:54:27,040 [http-nio-8080-exec-4] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:54:41,812 [http-nio-8080-exec-10] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:54:44,876 [http-nio-8080-exec-8] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:55:15,914 [http-nio-8080-exec-3] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:55:36,839 [http-nio-8080-exec-7] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:57:07,052 [http-nio-8080-exec-1] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:59:01,553 [http-nio-8080-exec-2] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:59:04,484 [http-nio-8080-exec-3] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 21:59:54,533 [http-nio-8080-exec-7] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 22:00:44,019 [http-nio-8080-exec-8] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 22:01:29,314 [http-nio-8080-exec-2] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 22:04:36,909 [http-nio-8080-exec-9] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 22:05:22,720 [http-nio-8080-exec-10] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 22:05:32,725 [http-nio-8080-exec-3] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 22:07:07,427 [http-nio-8080-exec-6] INFO  | rental.contract.ContractService                              | Entity 1 exists (ContractService.java:206)
 2022-04-19 22:18:52,725 [main] INFO  | rental.RentalApplication                                     | Rental application started. (RentalApplication.java:19)
 2022-04-19 22:18:59,390 [main] INFO  | org.hibernate.tuple.PojoInstantiator                         | HHH000182: No default (no-argument) constructor for class: rental.place.Place (class must be instantiated by Interceptor) (PojoInstantiator.java:47)
 2022-04-19 22:18:59,925 [main] INFO  | org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] (JtaPlatformInitiator.java:52)
 2022-04-19 22:18:59,943 [main] INFO  | org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean | Initialized JPA EntityManagerFactory for persistence unit 'default' (AbstractEntityManagerFactoryBean.java:437)
 2022-04-19 22:19:01,021 [main] WARN  | org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning (JpaBaseConfiguration.java:219)
 2022-04-19 22:19:01,693 [main] INFO  | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | Tomcat started on port(s): 8080 (http) with context path '' (TomcatWebServer.java:220)
 2022-04-19 22:19:01,706 [main] INFO  | rental.RentalApplication                                     | Started RentalApplication in 8.733 seconds (JVM running for 10.657) (StartupInfoLogger.java:61)
