[main] INFO  | rental.RentalApplication                                     | Rental application started. (RentalApplication.java:25)
[main] INFO  | rental.RentalApplication                                     | Rental application started. (RentalApplication.java:25)
[main] INFO  | rental.RentalApplication                                     | Rental application started. (RentalApplication.java:25)
[main] INFO  | rental.RentalApplication                                     | Rental application started. (RentalApplication.java:25)
[main] ERROR | rental.RentalApplication                                     | test error (RentalApplication.java:26)
[main] INFO  | rental.RentalApplication                                     | Rental application started. (RentalApplication.java:25)
[main] ERROR | rental.RentalApplication                                     | test error (RentalApplication.java:26)
[main] INFO  | rental.RentalApplication                                     | Rental application started. (RentalApplication.java:26)
[main] ERROR | rental.RentalApplication                                     | test error (RentalApplication.java:27)
[main] INFO  | rental.RentalApplication                                     | Rental application started. (RentalApplication.java:27)
[main] ERROR | rental.RentalApplication                                     | test error (RentalApplication.java:28)
[main] INFO  | rental.RentalApplication                                     | Rental application started. (RentalApplication.java:27)
[main] ERROR | rental.RentalApplication                                     | test error (RentalApplication.java:28)
[main] WARN  | org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning (JpaBaseConfiguration.java:219)
[main] WARN  | org.springframework.data.convert.CustomConversions           | Registering converter from class java.time.OffsetDateTime to class org.springframework.data.jdbc.core.convert.JdbcValue as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation. (CustomConversions.java:271)
[main] INFO  | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | Tomcat started on port(s): 8080 (http) with context path '' (TomcatWebServer.java:220)
[main] INFO  | rental.RentalApplication                                     | Started RentalApplication in 8.092 seconds (JVM running for 9.276) (StartupInfoLogger.java:61)
[http-nio-8080-exec-2] INFO  | org.springframework.web.servlet.DispatcherServlet            | Initializing Servlet 'dispatcherServlet' (FrameworkServlet.java:525)
[http-nio-8080-exec-2] INFO  | org.springframework.web.servlet.DispatcherServlet            | Completed initialization in 0 ms (FrameworkServlet.java:547)
[http-nio-8080-exec-2] ERROR | rental.contract.ContractService                              | Entity (%s) not found (ContractService.java:137)
[http-nio-8080-exec-2] ERROR | rental.contract.ContractService                              | test (ContractService.java:138)
 2022-04-10 22:04:34,732 [main] INFO  | rental.RentalApplication                                     | Rental application started. (RentalApplication.java:19)
 2022-04-10 22:04:39,961 [main] WARN  | org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning (JpaBaseConfiguration.java:219)
 2022-04-10 22:04:40,294 [main] WARN  | org.springframework.data.convert.CustomConversions           | Registering converter from class java.time.OffsetDateTime to class org.springframework.data.jdbc.core.convert.JdbcValue as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation. (CustomConversions.java:271)
 2022-04-10 22:04:40,375 [main] INFO  | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | Tomcat started on port(s): 8080 (http) with context path '' (TomcatWebServer.java:220)
 2022-04-10 22:04:40,388 [main] INFO  | rental.RentalApplication                                     | Started RentalApplication in 5.575 seconds (JVM running for 6.39) (StartupInfoLogger.java:61)
 2022-04-10 22:06:28,812 [main] INFO  | rental.RentalApplication                                     | Rental application started. (RentalApplication.java:19)
 2022-04-10 22:06:34,029 [main] WARN  | org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning (JpaBaseConfiguration.java:219)
 2022-04-10 22:06:34,356 [main] WARN  | org.springframework.data.convert.CustomConversions           | Registering converter from class java.time.OffsetDateTime to class org.springframework.data.jdbc.core.convert.JdbcValue as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation. (CustomConversions.java:271)
 2022-04-10 22:06:34,429 [main] INFO  | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | Tomcat started on port(s): 8080 (http) with context path '' (TomcatWebServer.java:220)
 2022-04-10 22:06:34,439 [main] INFO  | rental.RentalApplication                                     | Started RentalApplication in 5.554 seconds (JVM running for 6.236) (StartupInfoLogger.java:61)
